batch_size,client_num_in_total,cut_layer,partition_alpha,accuracy
32,1,9.0,3.2597702412369736,0.9740458015267176
64,14,7.0,1.4818234150913716,0.9679389312977099
128,8,4.0,1.3182819147357796,0.9740458015267176
32,1,5.0,6.743488952231307,0.9725190839694656
8,16,4.0,0.281358455554337,0.9755725190839695
64,17,9.0,0.1137500950251065,0.9725190839694656
8,14,6.0,19.430794448385193,0.9725190839694656
32,5,9.0,5.254402370810563,0.9770992366412213
128,3,5.0,0.96663956924525,0.9709923664122138
8,1,9.0,0.14906442017692198,0.9725190839694656
32,10,8.0,0.24547535353423044,0.9618320610687023
16,14,9.0,13.803735639787144,0.9694656488549618
16,2,8.0,2.601058237854002,0.9648854961832061
32,17,9.0,0.4780490961301537,0.9633587786259542
8,16,8.0,0.20623851916446329,0.9679389312977099
128,3,3.0,0.4811480550187918,0.9648854961832061
8,7,2.0,2.5533561247014203,0.9694656488549618
64,1,9.0,6.869120772681416,0.9694656488549618
64,15,5.0,10.968131644325524,0.9679389312977099
16,19,2.0,0.16453385096683595,0.9709923664122138
16,17,5.0,1.77272586548355,0.9648854961832061
16,11,5.0,7.813193219961863,0.9679389312977099
128,12,5.0,1.591099746037092,0.9755725190839695
128,6,6.0,1.1276669517080269,0.9755725190839695
64,3,8.0,0.8841738665776276,0.9648854961832061
64,18,5.0,0.20204643798350572,0.9633587786259542
16,17,9.0,0.5535189981414637,0.9709923664122138
32,5,3.0,1.0234966046771128,0.9740458015267176
128,9,5.0,0.15349390041079725,0.9755725190839695
128,1,8.0,0.13611475595001551,0.9740458015267176
16,16,2.0,0.35625248795451725,0.9725190839694656
128,16,6.0,0.4406931435609023,0.9694656488549618
128,3,5.0,2.5561585376006883,0.9786259541984733
16,5,7.0,0.659331479150925,0.9786259541984733
8,5,8.0,0.6118928352759411,0.9725190839694656
8,5,5.0,0.5206805632260685,0.9725190839694656
16,7,5.0,5.7085319350267305,0.9648854961832061
8,5,8.0,1.1728119482349944,0.9740458015267176
16,5,5.0,2.612700019129295,0.981679389312977
16,10,3.0,0.39840433288279775,0.9725190839694656
32,1,9.0,1.437909731350859,0.9755725190839695
128,16,9.0,3.74818613075738,0.9725190839694656
16,12,3.0,0.11508091884351401,0.9740458015267176
32,1,6.0,3.0215200920004275,0.9786259541984733
32,12,4.0,7.732430929272372,0.9694656488549618
8,10,4.0,16.282771145577367,0.9740458015267176
64,12,8.0,0.4269654875843678,0.9679389312977099
16,18,4.0,0.1229292794950308,0.9755725190839695
8,10,3.0,3.2272859913889156,0.9679389312977099
16,7,5.0,0.39798429006401576,0.9725190839694656
16,13,4.0,4.010634788550438,0.9770992366412213
128,4,3.0,0.12307473606602283,0.9740458015267176
128,3,2.0,5.335646622287546,0.9725190839694656
32,18,2.0,0.8901140399675369,0.9725190839694656
128,13,8.0,0.3540124463933955,0.966412213740458
8,17,2.0,0.3533365243617353,0.9709923664122138
64,13,4.0,7.9744992154465235,0.9679389312977099
32,12,6.0,0.7862573841017904,0.9801526717557252
8,9,8.0,8.898192260592475,0.9725190839694656
64,19,3.0,15.35044902929297,0.9618320610687023
